Hub Name,Hub Email,,,
Marbella,marbella.hub@edubga.com,,,
Valencia,valencia.hub@edubga.com,,,
Durban High School,dhs.hub@edubga.com,,,
Hugenot,hugenout.hub@edubga.com ,,,
Westville,westville.hub@edubga.com,,,
Nelspruit,nelspruit.hub@edubga.com,,,
Paarl,paarl.hub@edubga.com,,,
Tygervalley,tygervalley.hub@edubga.com,,,
Bern,bern.hub@edubga.com,,,
Braga,braga.hub@edubga.com ,,,
Caldas da Rainha,caldasrainha.hub@edubga.com,,,
Cascais Baía 1,baia1.hub@edubga.com,,,
Cascais Baía 2,baia2.hub@edubga.com,,,
Cascais 1,cascais1.hub@edubga.com,,,
Cascais 2,cascais2.hub@edubga.com,,,
Guincho,guincho.hub@edubga.com,,,
Ericeira 2,ericeira2.hub@edubga.com,,,
Funchal,funchal.hub@edubga.com,,,
Fundao,fundao.hub@edubga.com,,,
Lagoa,lagoa.hub@edubga.com,,,
Lagos 1 ,lagos1.hub@edubga.com,,,
Lagos 2,lagos2.hub@edubga.com,,,
Leiria,leiria.hub@edubga.com,,,
Campolide,campolide.hub@edubga.com,,,
CCB,ccb.hub@edubga.com,,,
Expo,expo.hub@edubga.com,,,
Loule,loule.hub@edubga.com,,,
Ofir,ofir.hub@edubga.com,,,
Parede,parede.hub@edubga.com,,,
Porto Anje,portoanje.hub@edubga.com,,,
Setubal,setubal.hub@edubga.com,,,
Tavira,tavira.hub@edubga.com,,,
Vila Sol,vilasol.hub@edubga.com,,,
Walvis Bay,walvisbay.hub@edubga.com,,,
Windhoek,windhoek.hub@edubga.com,,,
Sommerschield,maputo.hub@edubga.com,,,
Tofo,tofo.hub@edubga.com,,,
Kilifi,kilifi.hub@edubga.com,,,
,,,,
Hubs with no email,,,,
Amazintoti,,,,
Riebeek Kasteel,,,,
Kakuma,,,,
