Model;Country;Currency;Hub Type;Specific Hub;Curriculum;Fee;Value;Invoice;Notes
Hybrid;Portugal;Euro (€);Independent;N/A;Portuguese;Admissions Fee;995;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;British Curriculum;Admissions Fee;1 495;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;US Curriculum;Admissions Fee;1 495;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;Portuguese;Monthly Fee;595;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;British Curriculum;Monthly Fee;595;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;US Curriculum;Monthly Fee;845;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;Own Curriculum;Monthly Fee;550;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;Own Curriculum;Admissions Fee;1 495;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;Portuguese;Annual Registration Fee;500;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;British Curriculum;Annual Registration Fee;500;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;US Curriculum;Annual Registration Fee;500;Parents;
Hybrid;Portugal;Euro (€);Independent;N/A;Own Curriculum;Annual Registration Fee;500;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;British Curriculum;Admissions Fee;1 650;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;US Curriculum;Admissions Fee;1 650;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;British Curriculum;Monthly Fee;704;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;US Curriculum;Monthly Fee;995;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;Own Curriculum;Monthly Fee;550;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;Own Curriculum;Admissions Fee;704;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;British Curriculum;Annual Registration Fee;500;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;US Curriculum;Annual Registration Fee;500;Parents;
Hybrid;Spain;Euro (€);Independent;N/A;Own Curriculum;Annual Registration Fee;500;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;British Curriculum;Admissions Fee;3 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;US Curriculum;Admissions Fee;3 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;Own Curriculum;Admissions Fee;3 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;British Curriculum;Monthly Fee;6 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;US Curriculum;Monthly Fee;9 900;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;Own Curriculum;Monthly Fee;3 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;British Curriculum;Annual Registration Fee;3 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;US Curriculum;Annual Registration Fee;3 000;Parents;
Hybrid;South Africa;Rand (R);Independent;N/A;Own Curriculum;Annual Registration Fee;3 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;British Curriculum;Admissions Fee;5 450;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;US Curriculum;Admissions Fee;5 450;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;Own Curriculum;Admissions Fee;5 450;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;British Curriculum;Monthly Fee;3 900;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;US Curriculum;Monthly Fee;9 900;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;Own Curriculum;Monthly Fee;2 000;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;British Curriculum;Annual Registration Fee;3 100;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;US Curriculum;Annual Registration Fee;3 100;Parents;
Hybrid;Namibia;Namibian Dollar ($N);Independent;N/A;Own Curriculum;Annual Registration Fee;3 100;Parents;
Hybrid;Mozambique;Metical (MZN);Independent;Maputo;Portuguese;Admissions Fee;?;Parents;
